"","Basin","Year","Type","Transect","Interval","Lat_M","Lon_M","NperHa"
"58","EB",2020,"R","22a",7,42.47916709,-80.00952764,507.890028588561
"59","EB",2020,"T","22a",1,42.3997252,-80.07145284,793.568267093445
"60","EB",2020,"T","22a",2,42.40686145,-80.07396319,7029.90485638356
"61","EB",2020,"T","22a",3,42.41374473,-80.07643158,1175.53017189825
"62","EB",2020,"T","22a",4,42.4207154,-80.07883805,220.190730641109
"63","EB",2020,"T","22a",5,42.42760269,-80.08131291,444.877598726288
"64","EB",2020,"T","22a",6,42.43458067,-80.08377689,395.691035456073
"65","EB",2020,"T","22a",7,42.44153949,-80.08625205,410.300889051667
"66","EB",2020,"T","22a",8,42.44838333,-80.08888333,174.876424460368
"67","EB",2020,"T","22a",9,42.45534986,-80.09133884,98.7954032622157
"68","EB",2020,"T","22a",10,42.46226667,-80.09388333,27.4734749981715
"69","EB",2020,"T","22a",11,42.4692142,-80.09640473,287.574507129483
"70","EB",2020,"T","22a",12,42.47609563,-80.09893743,40.7460062869286
"71","EB",2020,"T","22a",13,42.48305112,-80.10146148,96.1050162472377
"72","EB",2020,"T","22a",14,42.49001102,-80.10390692,971.510113858692
"73","EB",2020,"T","22a",15,42.49695271,-80.10625646,142.007599504883
"74","EB",2020,"T","22a",16,42.50393508,-80.10856228,183.527657300195
"75","EB",2020,"T","22a",17,42.51297878,-80.11172626,2652.64532061893
"76","EB",2020,"T","22a",18,42.51668333,-80.11365,7451.03838516824
"77","EB",2020,"T","22a",19,42.52230358,-80.11499008,2008.00930364763
"78","EB",2020,"R","22b",1,42.50864108,-79.95567171,333.940726734893
"79","EB",2020,"R","22b",2,42.51418096,-79.94956904,1124.10642358239
"80","EB",2020,"R","22b",3,42.5197297,-79.94350545,258.720035483811
"81","EB",2020,"R","22b",4,42.52524853,-79.9373848,299.285997079131
"82","EB",2020,"R","22b",5,42.53078701,-79.93129449,300.098903098101
"83","EB",2020,"R","22b",6,42.53637657,-79.92527682,326.501829098452
"84","EB",2020,"R","22b",7,42.53943333,-79.92198333,380.941114379959
"85","EB",2020,"T","22b",1,42.52570791,-79.74111375,1647.08569816544
"86","EB",2020,"T","22b",2,42.53271469,-79.74342156,1811.35611606742
"87","EB",2020,"T","22b",3,42.53970199,-79.74571667,2139.1081786214
"88","EB",2020,"T","22b",4,42.5466712,-79.74801262,956.206973834284
"89","EB",2020,"T","22b",5,42.55364755,-79.75034918,338.502875264371
"90","EB",2020,"T","22b",6,42.5606,-79.7527,319.644085834689
"91","EB",2020,"T","22b",7,42.56754321,-79.75511996,151.371012219072
"92","EB",2020,"T","22b",8,42.57448201,-79.757594,248.797795094328
"93","EB",2020,"T","22b",9,42.58142553,-79.76011407,154.561438680893
"94","EB",2020,"T","22b",10,42.58834435,-79.76259256,26.9174739568737
"95","EB",2020,"T","22b",11,42.59530344,-79.76501781,82.1081641007783
"96","EB",2020,"T","22b",12,42.60223286,-79.76748302,68.498843572787
"97","EB",2020,"T","22b",13,42.60923626,-79.76961209,254.928863888341
"98","EB",2020,"T","22b",14,42.61613805,-79.7715238,225.219858198695
"99","EB",2020,"R","22c",6,42.57193858,-79.89232191,1513.57273104689
"100","EB",2020,"R","22c",7,42.57634936,-79.89859903,1044.77451087832
"101","EB",2020,"R","22c",8,42.5810651,-79.90589765,637.311938591105
"102","EB",2020,"R","22c",9,42.58576667,-79.91321667,617.65335382194
"103","EB",2020,"R","22c",10,42.59042077,-79.92062077,395.177033441018
"104","EB",2020,"R","22c",11,42.59512141,-79.92792378,774.308983841352
"105","EB",2020,"R","22c",12,42.59908177,-79.93426431,767.924320922055
"106","EB",2020,"R","22d",1,42.6195974,-79.63152396,3715.11291061485
"107","EB",2020,"R","22d",2,42.612982,-79.63625133,4133.16785427815
"108","EB",2020,"R","22d",3,42.60756194,-79.64259875,4982.12301235174
"109","EB",2020,"R","22d",4,42.60217421,-79.64894246,3683.25494729985
"110","EB",2020,"R","22d",5,42.59678233,-79.65531767,2684.03715298256
"111","EB",2020,"R","22d",6,42.59142982,-79.66175526,4875.4642764507
"112","EB",2020,"R","22d",7,42.5877453,-79.66620705,2838.61052662876
"113","EB",2020,"R","23a",1,42.63812882,-79.98943178,816.939894540511
"114","EB",2020,"R","23a",2,42.64243633,-79.98136067,1092.3542435454
"115","EB",2020,"R","23a",3,42.64672724,-79.9736008,2646.90890226873
"116","EB",2020,"R","23a",4,42.65101815,-79.96583111,4816.44871512415
"117","EB",2020,"R","23a",5,42.65543418,-79.9582154,5397.89017050857
"118","EB",2020,"R","23a",6,42.65981622,-79.95054234,5319.78056918554
"119","EB",2020,"R","23a",7,42.66271622,-79.94557566,9154.73649141113
"120","EB",2020,"T","23a",2,42.78324597,-79.72250977,332.813003592978
"121","EB",2020,"T","23a",3,42.77625,-79.72025,1785.86591363397
"122","EB",2020,"T","23a",4,42.76931097,-79.71776477,2945.15943148659
"123","EB",2020,"T","23a",5,42.76231287,-79.71553207,6425.28229411495
"124","EB",2020,"T","23a",6,42.75533236,-79.71339142,8441.27890242613
"125","EB",2020,"T","23a",7,42.74831899,-79.71131308,8242.82554424144
"126","EB",2020,"T","23a",8,42.74127358,-79.70920173,7701.55914081345
"127","EB",2020,"T","23a",9,42.73426601,-79.70721089,8638.27476482731
"128","EB",2020,"T","23a",10,42.727224,-79.70527467,11877.7509743648
"129","EB",2020,"T","23a",11,42.72022808,-79.70320936,11579.5974943827
"130","EB",2020,"T","23a",12,42.7131863,-79.70117321,14112.0651116802
"131","EB",2020,"T","23a",13,42.7061732,-79.6991244,17984.2440187059
"132","EB",2020,"T","23a",14,42.69923689,-79.69669256,13632.201117818
"133","EB",2020,"T","23a",15,42.69223972,-79.69449743,9531.86693941454
"134","EB",2020,"T","23a",16,42.68521667,-79.6923,3870.44294798747
"135","EB",2020,"T","23a",17,42.67818392,-79.69032515,3996.85462219842
"136","EB",2020,"T","23a",18,42.67114904,-79.68825523,3167.0789819724
"137","EB",2020,"T","23a",19,42.66416067,-79.68609433,986.810133330659
"138","EB",2020,"T","23a",20,42.65716535,-79.68391217,166.82513549159
"139","EB",2020,"T","23a",21,42.65016929,-79.68177631,314.30664792625
"140","EB",2020,"T","23a",22,42.6453214,-79.68023333,209.676494596103
"141","EB",2020,"R","23b",1,42.68272463,-79.91483259,4740.86261907583
"142","EB",2020,"R","23b",2,42.68538371,-79.92441815,4146.40117100631
"143","EB",2020,"R","23b",3,42.68800398,-79.9334199,4084.09260739909
"144","EB",2020,"R","23b",4,42.69053684,-79.94249737,12440.0072562918
"145","EB",2020,"R","23b",5,42.6930903,-79.9515612,13214.3937748003
"146","EB",2020,"R","23b",6,42.69581908,-79.96054298,9101.87102764485
"147","EB",2020,"R","23b",7,42.69775,-79.96721667,6070.04152400425
"148","EB",2020,"T","23b",5,42.74456031,-79.84751667,38.1863710428055
"149","EB",2020,"T","23b",6,42.73748656,-79.8455733,3376.18724593412
"150","EB",2020,"T","23b",7,42.73050012,-79.84362782,3484.67012051079
"151","EB",2020,"T","23b",8,42.72346307,-79.84158213,3057.14491533061
"152","EB",2020,"T","23b",9,42.71644672,-79.83955446,4424.18951999317
"153","EB",2020,"T","23b",10,42.70943333,-79.83765,4148.60736702209
"154","EB",2020,"T","23b",11,42.70236765,-79.83585882,4932.81380036779
"155","EB",2020,"T","23b",12,42.69531667,-79.8341,4012.2282485838
"156","EB",2020,"T","23b",13,42.68831667,-79.83213333,1999.85428363662
"157","EB",2020,"T","23b",14,42.68134164,-79.82993055,975.548506004214
"158","EB",2020,"T","23b",15,42.67434113,-79.8277026,603.918848163469
"159","EB",2020,"T","23b",16,42.66733922,-79.8254853,257.606370853252
"160","EB",2020,"T","23b",17,42.66040893,-79.82301964,292.678875722755
"161","EB",2020,"T","23b",18,42.6535,-79.82041667,702.919537793482
"162","EB",2020,"T","23b",19,42.64658945,-79.81780759,509.620774354417
"163","EB",2020,"T","23b",20,42.63966667,-79.81526667,366.7466614697
"164","EB",2020,"T","23b",21,42.63272813,-79.81290382,175.125550856417
"165","EB",2020,"T","23b",22,42.62573333,-79.81076667,229.946237924721
"166","EB",2020,"T","23b",23,42.6187167,-79.80875001,382.656723306951
"167","EB",2020,"T","23b",24,42.6130245,-79.80725261,901.711092756004
"168","EB",2020,"R","23c",1,42.76316256,-79.80529565,10160.953342579
"169","EB",2020,"R","23c",2,42.76612531,-79.79579876,7146.49399939669
"170","EB",2020,"R","23c",3,42.76884143,-79.78685095,11059.1217884335
"171","EB",2020,"R","23c",4,42.7714157,-79.77775386,8537.80984191758
"172","EB",2020,"R","23c",5,42.77392358,-79.76865566,4616.72588929703
"173","EB",2020,"R","23c",6,42.77640127,-79.7595449,2689.09590818257
"174","EB",2020,"R","23c",7,42.77811793,-79.75329367,2219.61259195431
"175","EB",2020,"R","23d",1,42.67062625,-79.71631896,890.397746237189
"176","EB",2020,"R","23d",2,42.67558513,-79.7092482,577.130588081769
"177","EB",2020,"R","23d",3,42.68058333,-79.70231667,601.292367295158
"178","EB",2020,"R","23d",4,42.68557711,-79.69538956,589.851118607176
"179","EB",2020,"R","23d",5,42.69057198,-79.6884337,1668.76737561436
"180","EB",2020,"R","23d",6,42.69547057,-79.68131914,3150.75503830527
"181","EB",2020,"R","23d",7,42.69818333,-79.67718333,3770.53585622273
"182","EB",2020,"T","3a",1,42.82413734,-79.48461245,4238.08189678664
"183","EB",2020,"T","3a",2,42.81714692,-79.48165453,2847.07145452106
"184","EB",2020,"T","3a",3,42.81028644,-79.47878437,524.852047523665
"185","EB",2020,"T","3a",4,42.80347104,-79.4757959,800.902598469523
"186","EB",2020,"T","3a",5,42.79671667,-79.47271667,847.690625824276
"187","EB",2020,"T","3a",6,42.78990806,-79.46961093,502.022802498378
"188","EB",2020,"T","3a",7,42.78306667,-79.46658333,258.157152800392
"189","EB",2020,"T","3a",14,42.73643521,-79.44589014,115.920011962603
"190","EB",2020,"T","3a",15,42.72952587,-79.44321725,5836.41902428659
"191","EB",2020,"T","3a",16,42.72260051,-79.44060017,4472.94856180734
"192","EB",2020,"T","3a",17,42.7157377,-79.4379959,2331.76550203577
"193","EB",2020,"T","3a",18,42.70890739,-79.43496358,2544.04576211919
"194","EB",2020,"T","3a",19,42.70217303,-79.43164313,3479.92703426531
"195","EB",2020,"T","3a",20,42.69537895,-79.42860614,2269.81240835454
"196","EB",2020,"T","3a",21,42.68858183,-79.42554394,2419.62899939733
"197","EB",2020,"T","3a",22,42.68174654,-79.42266321,2360.99762905929
"198","EB",2020,"T","3a",23,42.67486667,-79.41988333,3139.03222762974
"199","EB",2020,"T","3a",24,42.66800346,-79.41715671,2092.22297074166
"200","EB",2020,"T","3a",25,42.66115,-79.41433333,1418.34345323028
"201","EB",2020,"T","3a",26,42.65425354,-79.4116734,2101.42821742569
"202","EB",2020,"T","3a",27,42.64966667,-79.41045,6970.74737813486
"203","EB",2020,"T","3b",1,42.60544839,-79.53039391,3457.89426363252
"204","EB",2020,"T","3b",2,42.61265209,-79.53296181,4511.90754469004
"205","EB",2020,"T","3b",3,42.61965918,-79.53513333,3142.30739082225
"206","EB",2020,"T","3b",4,42.62660562,-79.53746299,4663.06550854071
"207","EB",2020,"T","3b",5,42.63359888,-79.53973852,2521.88971212156
"208","EB",2020,"T","3b",6,42.64065548,-79.54193333,1263.16041820965
"209","EB",2020,"T","3b",7,42.64760897,-79.54422521,2394.32397688913
"210","EB",2020,"T","3b",8,42.65454377,-79.54667015,3889.49779979365
"211","EB",2020,"T","3b",9,42.66139632,-79.54944754,2439.70475031658
"212","EB",2020,"T","3b",10,42.66828969,-79.55217091,2046.96873173297
"213","EB",2020,"T","3b",11,42.67520081,-79.55488916,2534.50081514544
"214","EB",2020,"T","3b",12,42.68207342,-79.55764669,1650.8862573357
"215","EB",2020,"T","3b",13,42.68893867,-79.56039622,1725.79787594954
"216","EB",2020,"T","3b",14,42.69582575,-79.56306716,5885.53639677186
"217","EB",2020,"T","3b",15,42.70274121,-79.56570818,6141.02441833728
"218","EB",2020,"T","3b",16,42.70961871,-79.56840692,4638.51659062981
"219","EB",2020,"T","3b",17,42.71526006,-79.5705978,6257.02436582116
"220","EB",2020,"T","3b",18,42.72346856,-79.57332841,5041.84809640916
"221","EB",2020,"T","3b",19,42.7304129,-79.57561667,3907.9574504363
"222","EB",2020,"T","3b",20,42.73738563,-79.57785632,3002.94269501669
"223","EB",2020,"T","3b",21,42.74432303,-79.58028545,2406.69554999786
"224","EB",2020,"T","3b",22,42.75125679,-79.58281893,2258.48958252933
"225","EB",2020,"T","3b",23,42.75821782,-79.58520594,3776.21496468859
"226","EB",2020,"T","3b",24,42.76517217,-79.58769304,3143.38444766848
"227","EB",2020,"T","3b",25,42.77208764,-79.5902681,2224.73526355374
"228","EB",2020,"T","3b",26,42.77898653,-79.59285107,1469.7027096028
"229","EB",2020,"T","3b",27,42.7859495,-79.5954165,1265.51996574274
"230","EB",2020,"T","3b",28,42.79287976,-79.59794911,167.54481445727
"231","EB",2020,"T","3b",33,42.82496667,-79.61026667,16.9102434865477
